epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.639,1.44176,1.9462,1.26924,0.45114,0.67958,0.55734,0.288,1.66622,2.61352,1.3914,0.0003334,0.0003334,0.0003334
2,332.943,1.27041,1.1248,1.12509,0.59698,0.64069,0.59548,0.28918,1.66456,1.66973,1.38365,0.000676704,0.000676704,0.000676704
3,501.187,1.27591,1.14484,1.11423,0.58059,0.64244,0.59274,0.27059,1.84981,1.69135,1.71753,0.00101308,0.00101308,0.00101308
4,668.339,1.27621,1.086,1.12982,0.65704,0.62995,0.66756,0.30007,1.83844,1.3329,1.5735,0.00134252,0.00134252,0.00134252
5,827.429,1.22283,0.97539,1.09572,0.50773,0.64267,0.55189,0.28439,1.58344,1.98308,1.40073,0.00160099,0.00160099,0.00160099
